vehiculo,cod,perdida,n,,,,
pickup,REVISION," $(1,536.36)",412, 132.56 , 68.78 ," 26,294.07 "," 54,510.43 "
pickup,VERIFICACION_MEDIDORES, $(862.41),235, 131.60 , 68.78 ," 14,779.32 ",
pickup,CAMBIO_CORRECTIVO, $(561.13),163, 124.50 , 68.78 ," 9,074.21 ",
pickup,VERIFICACION_INDICADORES, $(346.45),103, 141.92 , 68.78 ," 7,515.50 ",8400
pickup,REVISION_TRANSFORMADOR, $(153.69),40, 157.24 , 68.78 ," 3,553.12 ",648.9%
pickup,CAMBIO_FUSIBLE, $(88.66),24, 153.40 , 68.78 ," 2,002.64 ",
camion,VERIFICACION_INDICADORES, $(66.92),16, 141.92 , 68.78 ," 1,170.30 ",
camion,VISITA_POR_CORRECCION, $(70.63),16, 176.52 , 68.78 ," 1,705.96 ",
camion,REVISION, $(54.47),13, 132.56 , 68.78 , 813.22 ,
camion,CAMBIO_FUSIBLE, $(49.17),11, 153.40 , 68.78 , 966.06 ,
pickup,VISITA, $(37.82),11, 128.36 , 68.78 , 655.46 ,
camion,REVISION_TRANSFORMADOR, $(50.41),11, 157.24 , 68.78 , 936.20 ,
camion,OTRO, $(29.52),7, 176.76 , 68.78 , 764.88 ,
camion,VERIFICACION_MEDIDORES, $(17.74),5, 131.60 , 68.78 , 308.88 ,
pickup,CAMBIO_PUENTES, $(7.67),3, 176.88 , 68.78 , 270.26 ,
camion,CAMBIO_PUENTES, $(10.89),2, 176.88 , 68.78 , 252.24 ,
camion,CAMBIO_CORRECTIVO, $(7.94),2, 124.50 , 68.78 , 111.45 ,
pickup,OTRO, $(6.52),1, 176.76 , 68.78 , 134.98 ,
pickup,VISITA_POR_CORRECCION, $(3.90),1, 176.52 , 68.78 , 98.77 ,
camion,VISITA, $(0.37),0, 128.36 , 68.78 , 4.97 ,
